Rank,Team,Score,Version
91,1385,0.4439,v3
93,1339,0.4436,v1
94,1183,0.4412,v4
95,1583,0.4399,v6
96,1029,0.4392,v2
97,1286,0.4386,v3
97,1383,0.4386,v9
99,1016,0.4380,v6
99,1403,0.4380,v2
101,1080,0.4377,v8
101,1611,0.4377,v9
103,1500,0.4365,v5
104,1528,0.4351,v2
105,1624,0.4325,v8
106,1117,0.4319,v2
106,1217,0.4319,v1
108,1073,0.4298,v4
109,1452,0.4292,v10
110,1312,0.4289,v2
111,1013,0.4285,v6
112,1699,0.4281,v3
113,1271,0.4254,v1
114,1604,0.4251,v3
115,1478,0.4237,v1
116,1488,0.4228,v7
117,1508,0.4224,v2
118,1459,0.4211,v5
119,1114,0.4202,v5
119,1115,0.4202,v7
119,1243,0.4202,v6
119,1293,0.4202,v6
119,1637,0.4202,v3
124,1077,0.4175,v7
124,1674,0.4175,v4
126,1380,0.4170,v6
126,1445,0.4170,v1
128,1317,0.4162,v6
129,1492,0.4151,v6
130,1275,0.4149,v4
131,1579,0.4137,v2
132,1386,0.4123,v7
133,1089,0.4114,v4
133,1379,0.4114,v4
135,1411,0.4105,v4
136,1564,0.4098,v4
137,1486,0.4088,v3
137,1616,0.4088,v3
139,1210,0.4064,v3
140,1308,0.4061,v3
140,1601,0.4061,v4
142,1704,0.4048,v4
143,1426,0.4032,v1
143,1607,0.4032,v5
145,1137,0.4026,v5
145,1351,0.4026,v3
147,1158,0.4000,v5
147,1203,0.4000,v10
147,1322,0.4000,v5
147,1580,0.4000,v6
151,1176,0.3974,v5
151,1455,0.3974,v3
153,1244,0.3947,v3
154,1481,0.3942,v1
155,1081,0.3939,v10
156,1195,0.3912,v10
157,1362,0.3886,v2
157,1438,0.3886,v8
159,1309,0.3877,v1
160,1198,0.3825,v7
160,1257,0.3825,v3
160,1451,0.3825,v3
163,1507,0.3813,v3
164,1187,0.3789,v1
165,1282,0.3763,v3
165,1428,0.3763,v3
167,1139,0.3759,v6
168,1677,0.3749,v4
169,1190,0.3740,v5
170,1545,0.3711,v2
171,1186,0.3708,v1
172,1327,0.3706,v13
173,1472,0.3684,v1
173,1589,0.3684,v1
173,1706,0.3684,v5
176,1406,0.3681,v2
177,1517,0.3677,v1
178,1608,0.3675,v4
179,1074,0.3655,v6
180,1417,0.3649,v3
180,1560,0.3649,v6
182,1316,0.3588,v1
182,1382,0.3588,v6
182,1454,0.3588,v2
185,1221,0.3567,v3
185,1648,0.3567,v4
187,1345,0.3561,v1
187,1410,0.3561,v4
187,1511,0.3561,v1
187,1625,0.3561,v7
191,1136,0.3535,v9
191,1663,0.3535,v2
193,1463,0.3526,v2
194,1561,0.3523,v3
195,1550,0.3491,v5
196,1559,0.3474,v1
197,1174,0.3447,v4
197,1251,0.3447,v1
197,1266,0.3447,v3
200,1015,0.3399,v7
201,1100,0.3395,v2
202,1335,0.3386,v2
203,1301,0.3360,v4
204,1140,0.3333,v1
204,1597,0.3333,v4
206,1072,0.3330,v3
207,1298,0.3325,v8
207,1427,0.3325,v2
209,1273,0.3320,v2
210,1118,0.3298,v3
210,1196,0.3298,v5
210,1538,0.3298,v5
210,1676,0.3298,v1
214,1376,0.3272,v7
214,1690,0.3272,v3
216,1288,0.3259,v2
217,1697,0.3237,v7
218,1439,0.3216,v1
219,1161,0.3211,v2
219,1448,0.3211,v2
221,1049,0.3206,v1
222,1026,0.3184,v2
222,1058,0.3184,v5
224,1603,0.3171,v2
225,1062,0.3145,v2
226,1347,0.3096,v3
226,1421,0.3096,v1
226,1497,0.3096,v4
229,1131,0.3070,v3
230,1129,0.3061,v1
231,1482,0.3060,v2
232,1502,0.3035,v1
233,1046,0.3009,v2
233,1332,0.3009,v5
233,1370,0.3009,v7
233,1612,0.3009,v2
237,1371,0.3000,v5
237,1575,0.3000,v7
239,1138,0.2996,v1
240,1512,0.2980,v2
241,1465,0.2974,v2
242,1479,0.2933,v2
243,1191,0.2921,v5
244,1705,0.2865,v3
245,1338,0.2860,v3
246,1039,0.2839,v1
247,1532,0.2822,v1
248,1458,0.2800,v7
249,1284,0.2798,v4
250,1279,0.2746,v1
251,1014,0.2675,v8
251,1475,0.2675,v2
253,1408,0.2664,v1
254,1255,0.2544,v1
255,1004,0.2512,v3
256,1285,0.2509,v2
257,1634,0.2482,v3
258,1400,0.2456,v2
259,1027,0.2421,v2
260,1638,0.2365,v2
261,1333,0.2284,v2
262,1546,0.2219,v1
263,1570,0.2208,v1
264,1576,0.2178,v2
265,1670,0.2158,v1
266,1003,0.2130,v2
267,1199,0.2114,v2
268,1484,0.2026,v4
269,1636,0.1982,v2
270,1343,0.1930,v1
271,1586,0.1921,v2
272,1592,0.1860,v1
273,1103,0.1844,v1
274,1441,0.1807,v2
274,1669,0.1807,v1
276,1315,0.1781,v1
276,1521,0.1781,v2
276,1610,0.1781,v1
279,1536,0.1754,v2
279,1569,0.1754,v1
281,1405,0.1570,v3
282,1260,0.1430,v2
283,1146,0.1404,v2
284,1359,0.1281,v2
285,1453,0.0880,v1
286,1215,0.0877,v2
287,1108,0.0816,v2
287,1707,0.0816,v1
289,1498,0.0728,v1
290,1069,0.0526,v1
291,1044,0.0000,v3
291,1119,0.0000,v2
291,1331,0.0000,v1
291,1407,0.0000,v1
291,1434,0.0000,v2
291,1440,0.0000,v2
291,1523,0.0000,v1
291,1555,0.0000,v4
291,1566,0.0000,v3
